,birth_order,birth_sex,mother_age,birth_count,country,time
0,1胎,女,15～19歲,23,基隆市,106
1,1胎,女,20～24歲,85,基隆市,106
2,1胎,女,25～29歲,168,基隆市,106
3,1胎,女,30～34歲,205,基隆市,106
4,1胎,女,35～39歲,105,基隆市,106
5,1胎,女,40～44歲,18,基隆市,106
6,1胎,女,45～49歲,1,基隆市,106
7,1胎,女,50歲以上,1,基隆市,106
8,1胎,女,未滿15歲,0,基隆市,106
9,1胎,男,15～19歲,21,基隆市,106
10,1胎,男,20～24歲,78,基隆市,106
11,1胎,男,25～29歲,186,基隆市,106
12,1胎,男,30～34歲,213,基隆市,106
13,1胎,男,35～39歲,110,基隆市,106
14,1胎,男,40～44歲,18,基隆市,106
15,1胎,男,45～49歲,1,基隆市,106
16,1胎,男,50歲以上,0,基隆市,106
17,1胎,男,未滿15歲,2,基隆市,106
18,2胎,女,15～19歲,2,基隆市,106
19,2胎,女,20～24歲,24,基隆市,106
20,2胎,女,25～29歲,95,基隆市,106
21,2胎,女,30～34歲,147,基隆市,106
22,2胎,女,35～39歲,103,基隆市,106
23,2胎,女,40～44歲,13,基隆市,106
24,2胎,女,45～49歲,1,基隆市,106
25,2胎,女,50歲以上,0,基隆市,106
26,2胎,女,未滿15歲,0,基隆市,106
27,2胎,男,15～19歲,8,基隆市,106
28,2胎,男,20～24歲,35,基隆市,106
29,2胎,男,25～29歲,76,基隆市,106
30,2胎,男,30～34歲,144,基隆市,106
31,2胎,男,35～39歲,103,基隆市,106
32,2胎,男,40～44歲,15,基隆市,106
33,2胎,男,45～49歲,0,基隆市,106
34,2胎,男,50歲以上,0,基隆市,106
35,2胎,男,未滿15歲,0,基隆市,106
36,3胎,女,15～19歲,0,基隆市,106
37,3胎,女,20～24歲,9,基隆市,106
38,3胎,女,25～29歲,12,基隆市,106
39,3胎,女,30～34歲,26,基隆市,106
40,3胎,女,35～39歲,30,基隆市,106
41,3胎,女,40～44歲,9,基隆市,106
42,3胎,女,45～49歲,0,基隆市,106
43,3胎,女,50歲以上,0,基隆市,106
44,3胎,女,未滿15歲,0,基隆市,106
45,3胎,男,15～19歲,1,基隆市,106
46,3胎,男,20～24歲,5,基隆市,106
47,3胎,男,25～29歲,21,基隆市,106
48,3胎,男,30～34歲,37,基隆市,106
49,3胎,男,35～39歲,32,基隆市,106
50,3胎,男,40～44歲,9,基隆市,106
51,3胎,男,45～49歲,0,基隆市,106
52,3胎,男,50歲以上,0,基隆市,106
53,3胎,男,未滿15歲,0,基隆市,106
54,4胎,女,15～19歲,0,基隆市,106
55,4胎,女,20～24歲,0,基隆市,106
56,4胎,女,25～29歲,2,基隆市,106
57,4胎,女,30～34歲,5,基隆市,106
58,4胎,女,35～39歲,9,基隆市,106
59,4胎,女,40～44歲,2,基隆市,106
60,4胎,女,45～49歲,0,基隆市,106
61,4胎,女,50歲以上,0,基隆市,106
62,4胎,女,未滿15歲,0,基隆市,106
63,4胎,男,15～19歲,0,基隆市,106
64,4胎,男,20～24歲,0,基隆市,106
65,4胎,男,25～29歲,4,基隆市,106
66,4胎,男,30～34歲,9,基隆市,106
67,4胎,男,35～39歲,4,基隆市,106
68,4胎,男,40～44歲,1,基隆市,106
69,4胎,男,45～49歲,0,基隆市,106
70,4胎,男,50歲以上,0,基隆市,106
71,4胎,男,未滿15歲,0,基隆市,106
72,5胎,女,15～19歲,0,基隆市,106
73,5胎,女,20～24歲,0,基隆市,106
74,5胎,女,25～29歲,1,基隆市,106
75,5胎,女,30～34歲,2,基隆市,106
76,5胎,女,35～39歲,1,基隆市,106
77,5胎,女,40～44歲,2,基隆市,106
78,5胎,女,45～49歲,0,基隆市,106
79,5胎,女,50歲以上,0,基隆市,106
80,5胎,女,未滿15歲,0,基隆市,106
81,5胎,男,15～19歲,0,基隆市,106
82,5胎,男,20～24歲,1,基隆市,106
83,5胎,男,25～29歲,3,基隆市,106
84,5胎,男,30～34歲,2,基隆市,106
85,5胎,男,35～39歲,0,基隆市,106
86,5胎,男,40～44歲,1,基隆市,106
87,5胎,男,45～49歲,0,基隆市,106
88,5胎,男,50歲以上,0,基隆市,106
89,5胎,男,未滿15歲,0,基隆市,106
90,6胎,女,15～19歲,0,基隆市,106
91,6胎,女,20～24歲,0,基隆市,106
92,6胎,女,25～29歲,0,基隆市,106
93,6胎,女,30～34歲,0,基隆市,106
94,6胎,女,35～39歲,1,基隆市,106
95,6胎,女,40～44歲,0,基隆市,106
96,6胎,女,45～49歲,0,基隆市,106
97,6胎,女,50歲以上,0,基隆市,106
98,6胎,女,未滿15歲,0,基隆市,106
99,6胎,男,15～19歲,0,基隆市,106
100,6胎,男,20～24歲,0,基隆市,106
101,6胎,男,25～29歲,1,基隆市,106
102,6胎,男,30～34歲,1,基隆市,106
103,6胎,男,35～39歲,1,基隆市,106
104,6胎,男,40～44歲,0,基隆市,106
105,6胎,男,45～49歲,0,基隆市,106
106,6胎,男,50歲以上,0,基隆市,106
107,6胎,男,未滿15歲,0,基隆市,106
108,7胎,女,15～19歲,0,基隆市,106
109,7胎,女,20～24歲,0,基隆市,106
110,7胎,女,25～29歲,0,基隆市,106
111,7胎,女,30～34歲,1,基隆市,106
112,7胎,女,35～39歲,0,基隆市,106
113,7胎,女,40～44歲,0,基隆市,106
114,7胎,女,45～49歲,0,基隆市,106
115,7胎,女,50歲以上,0,基隆市,106
116,7胎,女,未滿15歲,0,基隆市,106
117,7胎,男,15～19歲,0,基隆市,106
118,7胎,男,20～24歲,0,基隆市,106
119,7胎,男,25～29歲,0,基隆市,106
120,7胎,男,30～34歲,1,基隆市,106
121,7胎,男,35～39歲,0,基隆市,106
122,7胎,男,40～44歲,0,基隆市,106
123,7胎,男,45～49歲,0,基隆市,106
124,7胎,男,50歲以上,0,基隆市,106
125,7胎,男,未滿15歲,0,基隆市,106
126,8胎,女,15～19歲,0,基隆市,106
127,8胎,女,20～24歲,0,基隆市,106
128,8胎,女,25～29歲,0,基隆市,106
129,8胎,女,30～34歲,0,基隆市,106
130,8胎,女,35～39歲,0,基隆市,106
131,8胎,女,40～44歲,0,基隆市,106
132,8胎,女,45～49歲,0,基隆市,106
133,8胎,女,50歲以上,0,基隆市,106
134,8胎,女,未滿15歲,0,基隆市,106
135,8胎,男,15～19歲,0,基隆市,106
136,8胎,男,20～24歲,0,基隆市,106
137,8胎,男,25～29歲,0,基隆市,106
138,8胎,男,30～34歲,0,基隆市,106
139,8胎,男,35～39歲,0,基隆市,106
140,8胎,男,40～44歲,0,基隆市,106
141,8胎,男,45～49歲,0,基隆市,106
142,8胎,男,50歲以上,0,基隆市,106
143,8胎,男,未滿15歲,0,基隆市,106
144,9胎以上,女,15～19歲,0,基隆市,106
145,9胎以上,女,20～24歲,0,基隆市,106
146,9胎以上,女,25～29歲,0,基隆市,106
147,9胎以上,女,30～34歲,0,基隆市,106
148,9胎以上,女,35～39歲,0,基隆市,106
149,9胎以上,女,40～44歲,0,基隆市,106
150,9胎以上,女,45～49歲,0,基隆市,106
151,9胎以上,女,50歲以上,0,基隆市,106
152,9胎以上,女,未滿15歲,0,基隆市,106
153,9胎以上,男,15～19歲,0,基隆市,106
154,9胎以上,男,20～24歲,0,基隆市,106
155,9胎以上,男,25～29歲,0,基隆市,106
156,9胎以上,男,30～34歲,0,基隆市,106
157,9胎以上,男,35～39歲,1,基隆市,106
158,9胎以上,男,40～44歲,0,基隆市,106
159,9胎以上,男,45～49歲,0,基隆市,106
160,9胎以上,男,50歲以上,0,基隆市,106
161,9胎以上,男,未滿15歲,0,基隆市,106
162,1胎,女,15～19歲,52,臺北市,106
163,1胎,女,20～24歲,299,臺北市,106
164,1胎,女,25～29歲,1232,臺北市,106
165,1胎,女,30～34歲,2884,臺北市,106
166,1胎,女,35～39歲,1696,臺北市,106
167,1胎,女,40～44歲,263,臺北市,106
168,1胎,女,45～49歲,10,臺北市,106
169,1胎,女,50歲以上,5,臺北市,106
170,1胎,女,未滿15歲,0,臺北市,106
171,1胎,男,15～19歲,40,臺北市,106
172,1胎,男,20～24歲,287,臺北市,106
173,1胎,男,25～29歲,1380,臺北市,106
174,1胎,男,30～34歲,2937,臺北市,106
175,1胎,男,35～39歲,1729,臺北市,106
176,1胎,男,40～44歲,292,臺北市,106
177,1胎,男,45～49歲,20,臺北市,106
178,1胎,男,50歲以上,5,臺北市,106
179,1胎,男,未滿15歲,1,臺北市,106
180,2胎,女,15～19歲,5,臺北市,106
181,2胎,女,20～24歲,95,臺北市,106
182,2胎,女,25～29歲,524,臺北市,106
183,2胎,女,30～34歲,1854,臺北市,106
184,2胎,女,35～39歲,1965,臺北市,106
185,2胎,女,40～44歲,340,臺北市,106
186,2胎,女,45～49歲,10,臺北市,106
187,2胎,女,50歲以上,4,臺北市,106
188,2胎,女,未滿15歲,0,臺北市,106
189,2胎,男,15～19歲,5,臺北市,106
190,2胎,男,20～24歲,98,臺北市,106
191,2胎,男,25～29歲,601,臺北市,106
192,2胎,男,30～34歲,2024,臺北市,106
193,2胎,男,35～39歲,2085,臺北市,106
194,2胎,男,40～44歲,351,臺北市,106
195,2胎,男,45～49歲,15,臺北市,106
196,2胎,男,50歲以上,3,臺北市,106
197,2胎,男,未滿15歲,0,臺北市,106
198,3胎,女,15～19歲,0,臺北市,106
199,3胎,女,20～24歲,13,臺北市,106
200,3胎,女,25～29歲,75,臺北市,106
201,3胎,女,30～34歲,241,臺北市,106
202,3胎,女,35～39歲,345,臺北市,106
203,3胎,女,40～44歲,108,臺北市,106
204,3胎,女,45～49歲,3,臺北市,106
205,3胎,女,50歲以上,0,臺北市,106
206,3胎,女,未滿15歲,0,臺北市,106
207,3胎,男,15～19歲,0,臺北市,106
208,3胎,男,20～24歲,9,臺北市,106
209,3胎,男,25～29歲,66,臺北市,106
210,3胎,男,30～34歲,248,臺北市,106
211,3胎,男,35～39歲,392,臺北市,106
212,3胎,男,40～44歲,131,臺北市,106
213,3胎,男,45～49歲,5,臺北市,106
214,3胎,男,50歲以上,0,臺北市,106
215,3胎,男,未滿15歲,0,臺北市,106
216,4胎,女,15～19歲,0,臺北市,106
217,4胎,女,20～24歲,3,臺北市,106
218,4胎,女,25～29歲,5,臺北市,106
219,4胎,女,30～34歲,26,臺北市,106
220,4胎,女,35～39歲,51,臺北市,106
221,4胎,女,40～44歲,21,臺北市,106
222,4胎,女,45～49歲,1,臺北市,106
223,4胎,女,50歲以上,0,臺北市,106
