birth_order,birth_sex,mother_age,birth_count,country
1胎,女,15～19歲,9,基隆市
1胎,女,20～24歲,62,基隆市
1胎,女,25～29歲,149,基隆市
1胎,女,30～34歲,186,基隆市
1胎,女,35～39歲,87,基隆市
1胎,女,40～44歲,16,基隆市
1胎,女,45～49歲,0,基隆市
1胎,女,50歲以上,0,基隆市
1胎,女,未滿15歲,1,基隆市
1胎,男,15～19歲,18,基隆市
1胎,男,20～24歲,79,基隆市
1胎,男,25～29歲,173,基隆市
1胎,男,30～34歲,199,基隆市
1胎,男,35～39歲,109,基隆市
1胎,男,40～44歲,25,基隆市
1胎,男,45～49歲,0,基隆市
1胎,男,50歲以上,0,基隆市
1胎,男,未滿15歲,0,基隆市
2胎,女,15～19歲,0,基隆市
2胎,女,20～24歲,38,基隆市
2胎,女,25～29歲,59,基隆市
2胎,女,30～34歲,139,基隆市
2胎,女,35～39歲,92,基隆市
2胎,女,40～44歲,24,基隆市
2胎,女,45～49歲,1,基隆市
2胎,女,50歲以上,0,基隆市
2胎,女,未滿15歲,0,基隆市
2胎,男,15～19歲,2,基隆市
2胎,男,20～24歲,35,基隆市
2胎,男,25～29歲,86,基隆市
2胎,男,30～34歲,141,基隆市
2胎,男,35～39歲,105,基隆市
2胎,男,40～44歲,18,基隆市
2胎,男,45～49歲,1,基隆市
2胎,男,50歲以上,0,基隆市
2胎,男,未滿15歲,0,基隆市
3胎,女,15～19歲,0,基隆市
3胎,女,20～24歲,3,基隆市
3胎,女,25～29歲,20,基隆市
3胎,女,30～34歲,24,基隆市
3胎,女,35～39歲,34,基隆市
3胎,女,40～44歲,9,基隆市
3胎,女,45～49歲,2,基隆市
3胎,女,50歲以上,0,基隆市
3胎,女,未滿15歲,0,基隆市
3胎,男,15～19歲,1,基隆市
3胎,男,20～24歲,2,基隆市
3胎,男,25～29歲,19,基隆市
3胎,男,30～34歲,22,基隆市
3胎,男,35～39歲,30,基隆市
3胎,男,40～44歲,6,基隆市
3胎,男,45～49歲,0,基隆市
3胎,男,50歲以上,0,基隆市
3胎,男,未滿15歲,0,基隆市
4胎,女,15～19歲,0,基隆市
4胎,女,20～24歲,1,基隆市
4胎,女,25～29歲,0,基隆市
4胎,女,30～34歲,6,基隆市
4胎,女,35～39歲,8,基隆市
4胎,女,40～44歲,6,基隆市
4胎,女,45～49歲,0,基隆市
4胎,女,50歲以上,0,基隆市
4胎,女,未滿15歲,0,基隆市
4胎,男,15～19歲,0,基隆市
4胎,男,20～24歲,2,基隆市
4胎,男,25～29歲,4,基隆市
4胎,男,30～34歲,5,基隆市
4胎,男,35～39歲,4,基隆市
4胎,男,40～44歲,1,基隆市
4胎,男,45～49歲,0,基隆市
4胎,男,50歲以上,0,基隆市
4胎,男,未滿15歲,0,基隆市
5胎,女,15～19歲,0,基隆市
5胎,女,20～24歲,0,基隆市
5胎,女,25～29歲,0,基隆市
5胎,女,30～34歲,2,基隆市
5胎,女,35～39歲,1,基隆市
5胎,女,40～44歲,0,基隆市
5胎,女,45～49歲,0,基隆市
5胎,女,50歲以上,0,基隆市
5胎,女,未滿15歲,0,基隆市
5胎,男,15～19歲,0,基隆市
5胎,男,20～24歲,0,基隆市
5胎,男,25～29歲,1,基隆市
5胎,男,30～34歲,5,基隆市
5胎,男,35～39歲,4,基隆市
5胎,男,40～44歲,0,基隆市
5胎,男,45～49歲,0,基隆市
5胎,男,50歲以上,0,基隆市
5胎,男,未滿15歲,0,基隆市
6胎,女,15～19歲,0,基隆市
6胎,女,20～24歲,0,基隆市
6胎,女,25～29歲,0,基隆市
6胎,女,30～34歲,1,基隆市
