country,sex,populations,time
新北市,男,1953397,106
新北市,女,2033292,106
臺北市,男,1281917,106
臺北市,女,1401340,106
桃園市,男,1089619,106
桃園市,女,1098398,106
臺中市,男,1374085,106
臺中市,女,1412985,106
臺南市,男,942278,106
臺南市,女,944244,106
高雄市,男,1375515,106
高雄市,女,1401397,106
宜蘭縣,男,230976,106
宜蘭縣,女,225631,106
新竹縣,男,282073,106
新竹縣,女,270096,106
苗栗縣,男,285844,106
苗栗縣,女,267963,106
彰化縣,男,653646,106
彰化縣,女,628812,106
南投縣,男,256732,106
南投縣,女,244319,106
雲林縣,男,358179,106
雲林縣,女,332194,106
嘉義縣,男,265882,106
嘉義縣,女,245300,106
屏東縣,男,424486,106
屏東縣,女,405453,106
臺東縣,男,113378,106
臺東縣,女,106162,106
花蓮縣,男,167179,106
花蓮縣,女,162058,106
澎湖縣,男,53648,106
澎湖縣,女,50425,106
基隆市,男,185870,106
基隆市,女,185588,106
新竹市,男,217831,106
新竹市,女,223301,106
嘉義市,男,130974,106
嘉義市,女,138424,106
金門縣,男,68722,106
金門縣,女,68734,106
連江縣,男,7349,106
連江縣,女,5531,106
新北市,男,1954968,107
新北市,女,2040749,107
臺北市,男,1273375,107
臺北市,女,1395197,107
桃園市,男,1104073,107
桃園市,女,1116799,107
臺中市,男,1380106,107
臺中市,女,1423788,107
臺南市,男,939967,107
臺南市,女,943864,107
高雄市,男,1371957,107
高雄市,女,1401576,107
宜蘭縣,男,230027,107
宜蘭縣,女,225194,107
新竹縣,男,284385,107
新竹縣,女,272625,107
苗栗縣,男,283174,107
苗栗縣,女,265689,107
彰化縣,男,650677,107
彰化縣,女,627147,107
南投縣,男,254549,107
南投縣,女,242482,107
雲林縣,男,355578,107
雲林縣,女,330444,107
嘉義縣,男,263451,107
嘉義縣,女,243617,107
屏東縣,男,421534,107
屏東縣,女,403872,107
臺東縣,男,112845,107
臺東縣,女,106074,107
花蓮縣,男,166258,107
花蓮縣,女,161710,107
澎湖縣,男,53807,107
澎湖縣,女,50633,107
基隆市,男,184978,107
基隆市,女,185177,107
新竹市,男,219846,107
新竹市,女,225789,107
嘉義市,男,130416,107
嘉義市,女,138206,107
金門縣,男,69494,107
金門縣,女,69779,107
連江縣,男,7448,107
連江縣,女,5608,107
新北市,男,1963658,108
新北市,女,2055038,108
臺北市,男,1260049,108
臺北市,女,1384992,108
桃園市,男,1116111,108
桃園市,女,1132926,108
臺中市,男,1384164,108
臺中市,女,1431097,108
臺南市,男,937342,108
臺南市,女,943564,108
高雄市,男,1369850,108
高雄市,女,1403348,108
宜蘭縣,男,229222,108
宜蘭縣,女,224956,108
新竹縣,男,287837,108
新竹縣,女,276096,108
苗栗縣,男,281290,108
苗栗縣,女,264169,108
彰化縣,男,647449,108
彰化縣,女,625353,108
南投縣,男,252705,108
南投縣,女,241407,108
雲林縣,男,352821,108
雲林縣,女,328485,108
嘉義縣,男,261238,108
嘉義縣,女,241875,108
屏東縣,男,417815,108
屏東縣,女,401369,108
臺東縣,男,111570,108
臺東縣,女,105211,108
花蓮縣,男,165073,108
花蓮縣,女,161174,108
澎湖縣,男,54283,108
澎湖縣,女,50924,108
基隆市,男,184139,108
基隆市,女,184754,108
新竹市,男,221265,108
新竹市,女,227538,108
嘉義市,男,129794,108
嘉義市,女,137896,108
金門縣,男,70010,108
金門縣,女,70175,108
連江縣,男,7501,108
連江縣,女,5588,108
